city,year,TMAX,TMIN,TAVG,TMAX_EXTREME,TMIN_EXTREME,PRCP_SUM
Harbin,2005,9.736164383561643,0.1789041095890411,4.957534246575342,32.0,-28.7,507.90000000000003
Harbin,2006,10.716438356164383,0.1652054794520548,5.440821917808219,33.1,-29.6,487.9
Harbin,2007,12.004657534246574,1.712054794520548,6.858356164383561,35.8,-22.6,444.1
Harbin,2008,11.998360655737704,1.5685792349726777,6.783469945355191,37.1,-28.0,439.0
Harbin,2009,10.333972602739726,-0.047671232876712294,5.1431506849315065,33.8,-32.3,534.1
Harbin,2010,9.62027397260274,-0.29342465753424657,4.663424657534247,37.8,-31.8,591.3
Harbin,2011,10.59972602739726,0.17561643835616436,5.387671232876712,35.7,-32.5,452.0
Harbin,2012,9.803825136612021,-0.2297814207650273,4.787021857923497,33.2,-31.3,740.8
Harbin,2013,-2.456989247311828,-1.3193548387096774,-1.8881720430107527,34.9,-33.3,654.5
Harbin,2014,10.91728045325779,-0.5981735159817352,5.159553468638028,36.2,-32.7,436.2
Harbin,2015,4.723333333333334,0.04633027522935787,2.3848318042813457,35.3,-29.6,446.6
Miami,1960,28.045081967213115,19.96256830601093,24.003825136612022,33.9,1.1,1785.3
Miami,1961,28.386849315068496,20.404657534246574,24.395753424657535,33.9,3.9,1060.0
Miami,1962,28.04602739726027,19.396712328767123,23.7213698630137,33.9,1.7,1074.2
Miami,1963,27.836438356164383,19.693424657534248,23.764931506849315,35.0,6.1,1171.4
Miami,1964,28.15245901639344,21.1620218579235,24.65724043715847,33.9,2.2,1529.3
Miami,1965,28.40794520547945,20.430410958904112,24.41917808219178,33.9,1.7,1483.6
Miami,1966,27.386849315068496,19.603287671232877,23.495068493150686,34.4,1.7,2085.5
Miami,1967,28.259999999999998,20.475616438356166,24.36780821917808,34.4,2.2,1682.9
Miami,1968,27.34863387978142,19.687704918032786,23.518169398907105,33.9,1.1,2118.7
Miami,1969,27.90794520547945,20.503835616438355,24.2058904109589,35.6,6.7,1816.6
Miami,1970,27.888219178082196,20.80054794520548,24.344383561643838,35.6,1.7,1136.5
